bytes;packets;connections;cpu_load
0;0;0;0
164;3;0;0
164;3;0;0
164;3;0;0
164;3;0;0
456;7;1;0
456;7;1;0
456;7;1;0
456;7;1;0
748;11;2;0
748;11;2;0
748;11;2;0
748;11;2;0
988;14;3;0
988;14;3;0
988;14;3;0
988;14;3;0
1228;17;4;0
1228;17;4;0
1228;17;4;0
1228;17;4;0
1520;21;5;0
1520;21;5;0
1520;21;5;0
1520;21;5;0
1760;24;6;0
1760;24;6;0
1760;24;6;0
1760;24;6;0
2000;27;7;0
2000;27;7;0
2000;27;7;0
2000;27;7;0
2656;38;7;0
2760;40;6;0
2968;44;6;0
2968;44;6;0
3312;49;6;0
3676;56;6;0
3676;56;6;0
3676;56;6;0
3968;60;7;0
4072;62;7;0
4488;70;6;0
4488;70;6;0
4728;73;7;0
4832;75;7;0
5196;82;5;0
5248;83;5;0
5644;89;6;0
5852;93;6;0
5904;94;6;0
6112;98;5;0
6976;113;6;0
7392;121;5;0
8016;133;5;7
10564;182;4;7
11508;200;4;7
11612;202;4;7
12572;219;4;7
13092;229;4;7
13644;238;5;7
14944;263;5;7
16036;284;4;7
18584;333;4;7
20256;365;4;7
21008;378;3;7
21840;394;3;7
22256;402;3;7
23068;416;3;7
23640;427;3;7
24056;435;3;7
26396;480;2;7
28716;523;3;7
28872;526;3;7
29184;532;3;7
29704;542;1;7
29816;544;2;7
30180;551;1;7
30232;552;1;29
30232;552;1;29
30292;553;2;29
36192;665;1;29
36192;665;1;29
36192;665;1;29
36484;669;2;20
36484;669;2;20
36612;670;2;20
36664;671;2;20
37060;677;2;20
37060;677;2;20
37060;677;2;20
37112;678;2;20
37224;680;3;20
38288;699;2;20
38444;702;1;20
38444;702;1;20
38684;705;2;20
38944;710;1;20
39204;715;0;20
39204;715;0;13
39444;718;1;13
39496;719;1;13
39496;719;1;13
39496;719;1;13
39944;726;2;13
39996;727;2;13
40724;741;2;13
40724;741;2;13
40964;744;3;13
41328;751;3;13
42212;768;2;13
43044;784;1;13
43336;788;2;13
43336;788;2;13
43388;789;2;13
43804;797;2;13
44200;803;3;13
44408;807;3;13
44408;807;3;13
44772;814;2;13
45064;818;3;13
45688;830;3;13
45792;832;3;13
45792;832;3;13
45904;834;4;13
46552;845;4;16
46552;845;4;16
46552;845;4;16
47208;856;5;16
47208;856;5;16
47780;867;5;16
48456;880;4;16
50568;919;5;16
50620;920;5;16
50880;925;5;16
57848;1059;4;16
58428;1070;3;16
58428;1070;3;16
59336;1086;3;16
59856;1096;2;16
60668;1110;3;16
60668;1110;3;16
60772;1112;3;16
60876;1114;3;16
