bytes;packets;connections;cpu_load
61896;1132;3;16
62000;1134;3;16
62208;1138;3;16
62208;1138;3;16
63384;1159;4;16
63384;1159;4;16
63384;1159;4;16
63488;1161;4;16
64196;1173;4;16
65184;1192;4;29
65340;1195;4;29
65704;1202;4;29
67972;1244;5;29
68388;1252;4;29
68596;1256;4;29
68752;1259;4;29
69148;1265;5;29
70136;1284;4;29
70812;1297;3;29
72580;1331;2;29
73264;1344;2;29
73912;1355;2;29
74068;1358;2;29
74068;1358;2;29
75036;1375;3;29
75296;1380;3;29
75504;1384;3;29
75504;1384;3;29
75900;1390;4;29
76056;1393;4;29
76524;1402;3;29
84688;1559;3;36
88360;1628;3;36
89296;1646;3;36
92988;1717;3;36
93456;1726;3;36
95256;1759;4;36
95592;1764;4;36
96216;1776;4;36
96684;1785;4;36
96924;1788;5;36
96924;1788;5;36
97132;1792;5;36
97132;1792;5;36
97244;1794;6;36
98100;1809;6;36
98152;1810;6;36
101636;1877;6;36
103176;1905;7;36
103176;1905;7;36
103436;1910;7;36
106452;1968;7;48
107524;1987;8;48
109136;2018;8;48
109136;2018;8;48
111892;2071;8;48
113432;2099;9;48
114264;2115;9;48
114264;2115;9;48
114628;2122;8;48
115492;2137;8;48
117260;2171;8;48
117468;2175;7;48
120432;2232;6;48
122232;2265;7;48
125092;2320;7;48
125924;2336;7;48
126548;2348;6;48
130012;2413;7;48
130116;2415;7;48
131676;2445;7;48
145404;2709;6;48
147776;2753;7;68
148868;2774;7;68
149024;2777;7;68
149752;2791;6;68
154412;2879;7;68
154828;2887;7;68
156960;2928;6;68
159144;2970;5;68
161724;3018;6;68
161724;3018;6;68
162868;3040;5;68
163908;3060;5;68
166540;3109;6;68
168516;3147;6;68
173404;3241;5;68
184688;3458;5;81
186904;3499;6;81
187164;3504;6;81
187788;3516;6;81
190128;3561;6;81
191720;3590;7;81
194060;3635;7;81
196348;3679;7;81
198896;3728;7;81
201372;3774;8;81
202100;3788;8;81
203088;3807;8;81
214580;4028;7;81
215056;4037;7;81
217212;4077;7;81
218720;4106;7;81
219448;4120;6;81
221248;4153;7;81
221872;4165;7;81
222392;4175;6;81
223952;4205;6;88
224116;4208;7;88
224504;4214;7;88
228144;4284;7;88
229132;4303;7;88
231244;4342;8;88
231816;4353;8;88
232128;4359;7;88
233064;4377;7;88
233512;4384;8;88
233720;4388;8;88
234604;4405;8;88
239700;4503;8;88
242748;4560;9;88
243788;4580;9;88
243788;4580;9;88
243788;4580;9;88
243848;4581;10;88
243952;4583;10;88
243952;4583;10;88
244964;4601;10;88
246452;4628;10;88
250144;4699;9;88
250456;4705;9;88
250716;4710;9;88
250932;4714;10;88
255844;4807;10;88
256052;4811;10;93
256052;4811;10;93
256320;4816;11;93
257748;4842;11;93
260816;4901;11;93
270176;5081;11;93
272704;5128;12;93
272912;5132;12;93
273744;5148;12;93
287316;5409;12;93
289324;5446;13;93
289480;5449;13;93
294628;5548;12;95
305496;5757;12;95
307088;5786;13;95
308180;5807;13;95
309428;5831;13;95
309428;5831;13;95
321316;6058;13;95
321784;6067;12;95
322356;6078;11;95
323032;6091;10;95
326704;6160;11;95
326912;6164;11;95
327120;6168;11;95
357332;6749;10;97
358172;6765;10;97
360016;6799;10;97
360276;6804;10;97
366464;6923;10;97
368524;6961;11;97
368836;6967;11;97
386516;7307;11;98
395460;7479;10;98
396300;7495;10;98
396404;7497;9;98
401808;7599;9;98
410232;7761;9;98
410524;7765;10;98
414372;7839;10;98
414840;7848;9;98
442384;8377;9;99
445432;8434;10;99
445640;8438;10;99
453024;8580;9;99
466448;8831;9;99
468508;8869;10;99
470900;8915;10;99
474876;8988;9;99
477684;9042;8;99
480220;9088;8;99
482128;9124;8;99
483788;9155;8;99
484724;9173;7;99
485304;9184;7;99
491120;9287;7;99
492728;9317;7;99
493672;9334;7;99
496316;9383;8;99
499628;9443;8;99
501612;9480;8;99
502704;9501;7;99
507712;9593;8;99
508484;9607;8;99
512236;9675;8;99
541344;10229;7;99
542220;10244;8;99
544364;10285;8;99
548520;10364;8;99
554180;10468;7;99
554344;10471;8;99
555092;10483;7;99
558328;10542;7;99
563096;10630;7;99
566660;10693;8;99
569460;10745;8;99
586776;11072;7;99
587720;11089;6;99
594336;11210;6;99
596860;11256;6;99
598404;11285;5;99
631872;11918;4;99
632580;11930;5;99
635648;11986;5;99
639396;12056;4;90
639812;12064;3;90
659760;12446;4;90
700372;13227;4;84
721224;13628;4;84
723172;13664;4;84
723724;13673;5;84
725336;13704;5;84
726532;13727;5;84
726948;13735;5;80
727188;13738;6;80
728852;13770;5;80
731504;13821;5;80
731816;13827;5;80
732784;13844;6;80
736060;13907;6;80
736684;13919;5;80
738608;13956;4;80
742332;14026;5;80
742800;14035;5;80
747896;14133;5;80
777276;14698;4;87
778920;14728;5;87
781104;14770;5;87
782716;14801;5;87
787760;14898;4;87
790548;14950;5;87
792160;14981;5;87
793668;15010;5;87
794396;15024;4;87
799576;15122;5;87
800044;15131;5;87
807740;15279;5;87
813304;15386;4;87
814740;15412;5;87
815416;15425;5;87
818484;15484;5;87
819628;15506;4;87
820416;15521;4;92
822364;15557;4;92
834688;15794;4;92
837288;15844;3;92
840336;15901;4;92
843196;15956;4;92
844132;15974;3;92
844132;15974;3;92
848688;16060;4;92
849676;16079;3;92
849988;16085;3;88
881188;16685;3;88
883612;16730;4;88
890580;16864;3;88
896768;16983;2;84
911432;17265;2;84
912192;17278;2;84
912244;17279;2;84
912400;17282;2;84
915468;17341;2;69
915996;17351;3;69
917476;17378;3;69
917944;17387;2;69
918568;17399;1;69
919848;17422;2;69
919900;17423;2;69
919900;17423;2;69
919952;17424;2;69
920296;17429;3;69
