bytes;packets;connections;cpu_load
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
60;1;1;0
240;3;1;0
240;3;1;0
240;3;1;0
300;4;2;0
532;7;2;0
532;7;2;0
532;7;2;0
592;8;3;0
772;10;3;0
772;10;3;0
772;10;3;0
832;11;4;0
1012;13;4;0
1012;13;4;0
1012;13;4;0
1072;14;5;0
1252;16;5;0
1252;16;5;0
1252;16;5;0
1312;17;6;0
1544;20;6;0
1544;20;6;0
1544;20;6;0
1604;21;7;0
1784;23;7;0
1784;23;7;0
1784;23;7;0
1844;24;8;0
2284;31;8;0
2284;31;8;0
2804;41;7;0
3096;45;7;0
3096;45;7;0
3408;51;7;0
3408;51;7;0
3752;56;8;0
4220;65;7;0
4896;78;7;0
4948;79;7;0
5008;80;8;0
5656;91;7;0
6072;99;6;0
6072;99;6;0
6184;101;7;0
6624;108;7;0
7248;120;6;6
7404;123;5;6
7748;128;6;6
7956;132;6;6
8060;134;6;6
10244;176;5;6
20520;372;6;6
20520;372;6;6
20572;373;6;6
20624;374;6;6
23412;426;6;6
23620;430;5;6
24348;444;4;6
24556;448;4;6
25368;462;4;6
25368;462;4;6
25576;466;4;6
25784;470;4;6
26336;479;4;6
26544;483;4;6
26960;491;4;6
27220;496;3;6
27616;502;4;6
28240;514;4;6
28240;514;4;6
28552;520;4;6
28792;523;5;6
28896;525;5;6
28948;526;5;6
29624;539;4;6
29968;544;5;6
30280;550;4;6
31372;571;4;16
31736;578;3;16
31976;581;4;16
34548;627;3;16
34548;627;3;16
34600;628;3;16
35496;642;3;16
36380;659;3;16
36380;659;3;16
36380;659;3;16
38024;689;3;16
38024;689;3;16
39064;709;3;16
39844;724;2;16
39904;725;3;16
43596;796;2;16
50616;931;2;16
54592;1006;2;16
56028;1032;3;16
56028;1032;3;16
57832;1066;3;16
58560;1080;2;24
61376;1134;3;24
62208;1150;3;24
62988;1165;3;24
72712;1352;3;24
72824;1354;4;24
73480;1364;4;24
73532;1365;4;24
74024;1373;4;24
75312;1395;5;24
75312;1395;5;24
75312;1395;5;24
75312;1395;5;24
76020;1407;6;24
76280;1412;5;24
76280;1412;5;24
76280;1412;5;24
76572;1416;6;24
76676;1418;6;24
77300;1430;6;24
77456;1433;6;24
77516;1434;7;24
77800;1438;6;24
79624;1471;6;24
79728;1473;6;24
80408;1485;6;24
81804;1509;6;24
82140;1515;6;24
82464;1521;5;24
