bytes;packets;connections;cpu_load
0;0;0;0
0;0;0;0
60;1;1;0
60;1;1;0
60;1;1;0
240;3;1;0
300;4;2;0
300;4;2;0
300;4;2;0
532;7;2;0
592;8;3;0
592;8;3;0
592;8;3;0
772;10;3;0
832;11;4;0
832;11;4;0
832;11;4;0
1012;13;4;0
1072;14;5;0
1072;14;5;0
1072;14;5;0
1252;16;5;0
1312;17;6;0
1312;17;6;0
1312;17;6;0
1492;19;6;0
1552;20;7;0
1552;20;7;0
1552;20;7;0
1732;22;7;0
1792;23;8;0
1792;23;8;0
1792;23;8;0
2440;34;8;0
2836;40;9;0
3304;49;9;0
3304;49;9;0
3356;50;9;0
3908;59;8;0
3908;59;8;0
4064;62;8;0
4220;65;8;0
4980;78;8;0
5604;90;7;0
5604;90;7;0
5864;95;7;0
6468;105;8;0
6572;107;8;0
6572;107;8;0
7248;120;7;0
7696;127;8;0
7696;127;8;0
7800;129;8;0
8320;139;8;0
8872;148;9;0
9236;155;9;0
9860;167;9;0
10484;179;8;0
11012;189;8;0
11116;191;8;0
11712;201;8;0
12284;212;8;0
14240;248;9;0
15020;263;9;0
15332;269;9;0
15592;274;9;0
15808;278;10;0
17548;310;9;0
18120;321;9;0
18120;321;9;0
20804;371;10;25
21584;386;10;25
22260;399;10;25
23664;426;10;25
24632;443;10;25
25828;466;9;25
25932;468;9;25
25932;468;9;25
25992;469;10;25
27316;493;10;25
27940;505;10;25
27940;505;10;25
33276;606;11;25
34316;626;11;25
35044;640;10;25
43000;793;9;25
43424;801;10;25
45972;850;9;25
50600;939;9;25
64300;1201;7;54
64516;1205;8;54
64516;1205;8;54
68284;1276;8;54
68492;1280;8;54
70760;1322;9;54
71228;1331;9;54
71228;1331;9;54
71852;1343;9;54
76720;1435;10;54
79736;1493;10;54
122376;2313;9;72
124040;2345;8;72
128284;2425;9;72
129324;2445;9;72
131404;2485;9;72
134836;2551;8;72
136792;2587;9;72
141836;2684;7;72
141836;2684;7;72
143396;2714;6;72
146192;2765;6;72
147856;2797;6;72
154304;2921;6;83
155136;2937;6;83
155404;2942;7;83
156572;2963;7;83
159380;3017;7;83
160004;3029;7;83
161492;3056;8;83
161492;3056;8;83
163000;3085;8;83
163208;3089;8;83
165580;3133;9;83
165996;3141;9;83
165996;3141;9;83
166152;3144;9;83
170216;3222;9;83
170892;3235;8;83
171308;3243;8;83
185892;3522;8;83
186004;3524;9;83
