bytes;packets;connections;cpu_load
187276;3547;9;83
188940;3579;9;83
193828;3673;9;89
194900;3692;10;89
195940;3712;10;89
198748;3766;10;89
199164;3774;10;89
199224;3775;11;89
200028;3789;11;89
201224;3812;11;89
202680;3840;11;89
203908;3862;12;89
204168;3867;12;89
204792;3879;12;89
206768;3917;12;89
206932;3920;13;89
209816;3974;13;89
210336;3984;13;89
220164;4173;13;89
221028;4188;13;89
221288;4193;12;89
222276;4212;11;93
223056;4227;11;93
225168;4266;12;93
225376;4270;12;93
226312;4288;12;93
230472;4368;11;93
232272;4401;12;93
232428;4404;12;93
232688;4409;12;93
233312;4421;12;93
234956;4451;13;93
235424;4460;13;93
236724;4485;13;93
236724;4485;13;93
238680;4521;14;93
238888;4525;14;93
239096;4529;14;93
242320;4591;14;93
242976;4602;15;93
244328;4628;15;93
244328;4628;15;93
244744;4636;15;93
245504;4649;16;93
246700;4672;16;93
247948;4696;16;93
250444;4744;16;93
250972;4754;17;93
251180;4758;17;93
251388;4762;17;93
263348;4992;16;96
264940;5021;17;96
266968;5060;17;96
270088;5120;16;96
270972;5137;15;96
271760;5152;15;96
272436;5165;15;96
272852;5173;15;96
273084;5176;14;96
274832;5208;15;96
275248;5216;15;96
279380;5294;15;96
280212;5310;15;96
280764;5319;16;96
281128;5326;16;96
282948;5361;16;96
283676;5375;16;96
284852;5396;17;96
284852;5396;17;96
286672;5431;16;96
288388;5464;16;96
288992;5474;17;96
289824;5490;17;96
290500;5503;17;96
290500;5503;17;96
293600;5561;18;97
293600;5561;18;97
295420;5596;18;97
295420;5596;18;97
297532;5635;19;97
298468;5653;19;97
298884;5661;19;97
300756;5697;19;97
300868;5699;20;97
302244;5724;20;97
304012;5758;20;97
305312;5783;20;97
306020;5795;21;97
306384;5802;21;97
307216;5818;21;97
309972;5871;21;97
310500;5881;22;97
312448;5917;22;97
312656;5921;22;97
313644;5940;21;97
314068;5948;21;97
315184;5968;21;97
316484;5993;21;97
318460;6031;21;97
320676;6072;22;97
323120;6119;22;97
324680;6149;21;98
324940;6154;21;98
325596;6165;22;98
326220;6177;21;98
328040;6212;21;98
328612;6223;21;98
330776;6263;22;98
332752;6301;21;98
333428;6314;20;98
335300;6350;19;98
337932;6399;20;98
339492;6429;20;98
341312;6464;20;98
341572;6469;20;98
344100;6516;21;98
345608;6545;21;98
346596;6564;21;98
348104;6593;20;98
350580;6639;21;98
350996;6647;21;98
352504;6676;20;98
352504;6676;20;98
353212;6688;20;98
356540;6752;20;98
357320;6767;19;98
364184;6899;18;99
365724;6927;19;99
366192;6936;19;99
367284;6957;18;99
368012;6971;17;99
369032;6989;17;99
369604;7000;16;99
374440;7093;16;99
388896;7371;15;99
394328;7473;14;99
394328;7473;14;99
394328;7473;14;99
394328;7473;14;99
395684;7496;13;99
395684;7496;13;99
396984;7521;13;99
398724;7554;13;99
402968;7634;14;99
403280;7640;14;99
403488;7644;14;99
403696;7648;14;99
409932;7761;15;99
410140;7765;15;99
410140;7765;15;99
410348;7769;15;99
412148;7802;15;99
414176;7841;15;99
415528;7867;14;99
429776;8141;14;99
430484;8153;14;99
431784;8178;14;99
435040;8239;13;99
436080;8259;13;99
436452;8266;13;99
441832;8368;13;99
443652;8403;13;99
447344;8474;13;99
449768;8519;13;99
450652;8536;13;99
450756;8538;13;99
480760;9115;13;99
481364;9125;14;99
481832;9134;14;99
482144;9140;14;99
485004;9195;14;99
485272;9200;15;99
485556;9204;15;99
488312;9257;15;99
488312;9257;15;99
490788;9303;16;99
490840;9304;16;99
492972;9345;15;99
494740;9379;15;99
495500;9392;16;99
501688;9511;16;99
503196;9540;16;99
503352;9543;16;99
503464;9545;17;99
505464;9582;16;99
508168;9634;16;99
508220;9635;16;99
512932;9724;17;99
513556;9736;17;99
529416;10041;17;99
550892;10454;17;99
551860;10471;18;99
555448;10540;18;99
557060;10571;18;99
558828;10605;17;99
561980;10664;18;99
563228;10688;18;99
563488;10693;18;99
564320;10709;18;99
566952;10758;18;99
568616;10790;18;99
569864;10814;18;99
570072;10818;18;99
572704;10867;19;99
573952;10891;19;99
574108;10894;19;99
575304;10917;18;99
577468;10957;19;99
578508;10977;19;99
579132;10989;19;99
581732;11039;18;99
582804;11058;19;99
585612;11112;19;99
588316;11164;19;99
588524;11168;19;99
589856;11192;19;99
591364;11221;19;99
593548;11263;19;99
593704;11266;19;99
593920;11270;20;99
595844;11307;20;99
599144;11369;20;99
599352;11373;20;99
601620;11415;21;99
604480;11470;21;99
604480;11470;21;99
607912;11536;21;99
609764;11570;22;99
610024;11575;22;99
615796;11686;22;99
616368;11697;22;99
620352;11772;23;99
623264;11828;23;99
623368;11830;23;99
633664;12028;23;99
644928;12243;24;99
672436;12772;24;99
677740;12874;23;99
681224;12941;22;99
685988;13031;23;99
689316;13095;22;99
691760;13142;21;99
692956;13165;20;99
709212;13476;21;99
734744;13967;20;99
736200;13995;19;99
741920;14105;18;99
746944;14200;19;99
746944;14200;19;99
747308;14207;19;99
749776;14253;19;99
750692;14269;19;99
753500;14323;19;99
755840;14368;19;99
755996;14371;19;99
758316;14414;20;99
759408;14435;20;99
760240;14451;20;99
761020;14466;20;99
763444;14511;21;99
764952;14540;21;99
764952;14540;21;99
766564;14571;21;99
766856;14575;22;99
769196;14620;22;99
769196;14620;22;99
769196;14620;22;99
770268;14639;23;99
772868;14689;23;99
772920;14690;23;99
772920;14690;23;99
774096;14711;24;99
777632;14779;24;99
777632;14779;24;99
780024;14825;24;99
781512;14852;25;99
781824;14858;25;99
781824;14858;25;99
784944;14918;25;99
785472;14928;26;99
785784;14934;26;99
790332;15020;25;99
792360;15059;25;99
799724;15199;26;99
801336;15230;26;99
829260;15767;25;99
830924;15799;25;99
831348;15807;26;99
833036;15838;26;99
838236;15938;26;99
838912;15951;26;99
842532;16019;27;99
843624;16040;27;99
845704;16080;27;99
864112;16434;26;99
865132;16452;26;99
865132;16452;26;99
865548;16460;25;99
866068;16470;24;99
