bytes;packets;connections;cpu_load
486144;9167;1;55
486904;9180;1;55
487164;9185;1;55
487216;9186;1;55
488568;9212;0;55
489224;9223;1;55
489276;9224;1;55
489432;9227;1;55
489952;9237;0;55
490608;9248;1;55
490712;9250;1;55
491076;9257;1;55
491596;9267;0;55
492408;9281;1;55
493656;9305;1;55
493760;9307;0;55
494436;9320;0;44
495092;9331;1;44
495768;9344;1;44
495976;9348;0;44
496028;9349;0;44
496892;9364;1;44
498348;9392;0;44
501052;9444;0;44
504380;9508;18446744073709551615;44
504672;9512;0;35
504672;9512;0;35
505620;9530;0;35
505620;9530;0;35
505912;9534;1;35
505912;9534;1;35
506016;9536;0;35
506016;9536;0;21
506372;9541;1;21
506372;9541;1;21
506540;9544;0;21
506540;9544;0;13
507268;9555;0;13
507268;9555;0;13
507268;9555;0;13
507268;9555;0;13
507560;9559;1;8
507560;9559;1;8
507560;9559;1;8
507740;9561;1;8
508084;9566;2;8
508188;9568;2;8
508292;9570;2;8
508968;9583;1;8
509208;9586;2;8
509312;9588;2;8
510040;9602;1;8
510144;9604;1;8
511060;9620;2;8
511268;9624;2;8
511268;9624;2;8
512412;9646;2;8
514264;9680;3;8
514940;9693;3;8
515720;9708;2;8
516864;9730;1;8
518716;9764;2;8
518820;9766;2;8
520224;9793;1;8
520692;9802;0;20
521608;9818;1;20
521816;9822;1;20
521920;9824;1;20
522284;9831;0;20
523408;9851;1;20
523460;9852;1;20
523564;9854;1;20
530012;9978;0;20
531344;10002;1;20
532488;10024;1;20
548556;10333;0;27
552976;10418;0;27
553424;10425;0;27
553424;10425;0;27
553996;10436;18446744073709551615;27
553996;10436;18446744073709551615;27
554108;10438;0;27
554288;10440;0;27
556108;10475;0;27
560112;10552;0;22
561236;10572;1;22
562744;10601;1;22
563628;10618;1;22
563732;10620;1;22
564856;10640;1;22
566104;10664;0;22
566156;10665;0;22
566884;10679;0;25
567592;10691;1;25
568112;10701;1;25
570764;10752;1;25
571180;10760;0;25
571240;10761;1;25
571396;10764;1;25
571784;10770;1;25
